epoch,step,train_loss,val_loss
0,49,4.851946830749512,
0,99,3.705227851867676,
0,149,3.501120090484619,
0,151,,3.9607973098754883
1,199,3.605280876159668,
1,249,3.5133440494537354,
1,299,3.5048952102661133,
1,303,,3.970714569091797
2,349,3.4467973709106445,
2,399,3.588550567626953,
2,449,3.733811378479004,
2,455,,3.9793701171875
3,499,3.4841513633728027,
3,549,3.5398452281951904,
3,599,3.4980337619781494,
3,607,,4.000801086425781
4,649,3.4433956146240234,
4,699,3.5867419242858887,
4,749,3.5028438568115234,
4,759,,4.048417568206787
5,799,3.553703784942627,
5,849,3.500912666320801,
5,899,3.5860767364501953,
5,911,,4.015107154846191
